Country,Jan,Feb,March,April,
United Kingdom,0,8,179,857,
Uruguay,0,0,41,412,
Uzbekistan,0,0,7,1096,
Venezuela,0,0,39,142,
Vietnam,0,16,58,222,
West Bank and Gaza,0,0,18,71,
Western Sahara,0,0,0,5,
Yemen,0,0,0,1,
Zambia,0,0,0,54,
Zimbabwe,0,0,0,5,
