Name,Address,Location,Type,,,
"All India Institute of Medical Sciences (AIIMS), Nagpur","All India Institute of Medical Sciences (AIIMS), Plot No. 2, Sector - 20, MIHAN, Nagpur 441108 Maharashtra",Nagpur,Government Laboratory,,,
"Nagpur Veterinary College, Nagpur","Department of Veterinary Public Health & Epidemiology, Nagpur Veterinary College. Seminary Hills, Nagpur 440006, Maharashtra",Nagpur,Government Laboratory,,,
"Advanced Centre for Treatment, Research and Education in Cancer (ACTREC), Tata Memorial Centre, Navi Mumbai","Advanced Centre for Treatment, Research and Education in Cancer (ACTREC), Tata Memorial Centre, Kharghar, Navi Mumbai - 410210, INDIA.",Navi Mumbai,Government Laboratory,,,
"Govt. Medical College, Akola","Govt. Medical College, Ashok Vatika, District Collector Office Road, Near, Bhandaraj BK, Akola, Maharashtra 444001, India",Mumbai,Government Laboratory,,,
"National Centre for Cell Science (NCCS), Pune","National Centre for Cell Science, NCCS Complex, Savitribai Phule Pune University Campus, Ganeshkhind Road, Pune - 411007, Maharashtra State, India",Pune,Government Laboratory,,,
"ICMR-National Institute for Research in Reproductive Health, Mumbai","ICMR-National Institute for Research in Reproductive Health, Jehangir Merwanji Street, Parel, Mumbai 400012, Maharashtra, India",Mumbai,Government Laboratory,,,
"Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane","Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane - Belapur Rd, Kalwa West, Budhaji Nagar, Kalwa, Thane, Maharashtra 400605",Thane,Government Laboratory,,,
"Thyrocare Technologies Limited, Navi Mumbai","Thyrocare Technologies Limited, D-37/1 MIDC Turbhe Opp Sandoz, MIDC Industrial Area, Sanpada, Navi Mumbai, Maharashtra 400703",Navi Mumbai,Private Laboratory,,,
"Suburban Diagnostics (India) Pvt. Ltd., Mumbai","Suburban Diagnostics (India) Pvt. Ltd., 2nd Floor Aston, Shastri Nagar, Andheri (W), Mumbai, Maharashtra, India 400053",Mumbai,Private Laboratory,,,
"Metropolis Healthcare Ltd, Mumbai","Metropolis Healthcare Ltd, 4th Floor, Commerical Building 1-A, Kohinoor City Mall, Off LBS Marg, Vidyavihar (West), Mumbai, Maharashtra 400070",Mumbai,Private Laboratory,,,
"Sir H. N. Reliance Foundation Hospital and Research Center, Mumbai","Sir H.N. Reliance Foundation Hospital and Research Center, Reliance Life Sciences Pvt Ltd, MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale, Navi Mumbai, Maharashtra 400701",Navi Mumbai,Private Laboratory,,,
"SRL Diagnostics, Goregaon West","SRL Diagnostics, Plot No 1, Prime Square building, Gaiwadi Industrial, estate, Next to Patel Petrol Pump, Opposite Mahesh Nagar, S.V. Road, Goregaon West, Mumbai, Maharashtra 400062",Mumbai,Private Laboratory,,,
"A.G Diagnostics Pvt Ltd, Pune","A.G Diagnostics Pvt Ltd, CTS No 809, F.P. 147, Nayantara Building, Bhandarkar Road, Pune, Maharashtra 411004",Mumbai,Private Laboratory,,,
"Kokilaben Dhirubhai Ambani Hospital Laboratory, Mumbai","Kokilaben Dhirubhai Ambani Hospital Laboratory, Four Bungalows, Andheri (West), Mumbai, Maharashtra, India",Mumbai,Private Laboratory,,,
"InfeXn Laboratories Private Ltd, Thane","InfeXn Laboratories Private Ltd, A/131, Therelek Compound, Road Number 23, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604",Thane,Private Laboratory,,,
"iGenetic Diagnostics Pvt. Ltd., Mumbai","iGenetic Diagnostics Pvt. Ltd., 1st Floor, krislon House, Off Marol Military Road, Andheri East, Mumbai Maharashtra 400072",Mumbai,Private Laboratory,,,
"Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Mumbai","Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Dept. of Microbiology & Serology, 6th Floor, Anexe Building, Tata Memorial Hospital, Dr. E. Borges Road, Parel, Mumbai 400012",Mumbai,Private Laboratory,,,
"Sahyadri Speciality Labs, Pune","Sahyadri Speciality Labs, Plot No. 54, S.No. 80-90, Lokmanya Colony, Kothrud, Pune-411038, Maharashtra, India",Pune,Private Laboratory,,,
"Dr. Jariwala Laboratory & Diagnostics LLP, Mumbai","Dr. Jariwala Laboratory & Diagnostics LLP, 1st Floor, Rasraj Heights, Rokadia Lane, Near Gokul Hotel Off,Mandpeshwar Road, Borivli (W), Mumbai-400092, Maharashtra",Mumbai,Private Laboratory,,,
"Metropolis Healthcare Limited, Pune","Construction House, Ground Floor, First Floor & Second Floor, 796/189-B, Bhandarkar Institute Road, Pune – 411004, Maharashtra, India",Pune,Private Laboratory,,,
"Ruby Hall Clinic, Department of Laboratory, Grant Medical Foundation, Pune","Ruby Hall Clinic, Department of Laboratory, Grant Medical Foundation, 40, Sassoon Road, Pune – 411001, Maharashtra, India",Pune,Private Laboratory,,,
"Qualilife Diagnostics, Mumbai","Qualilife Diagnostics, Balaji Arcade, 1st Floor, 544/A, Above Janata Sahakari Bank, Netaji Subhash Road, Mulud – West, Mumbai-400080",Mumbai,Private Laboratory,,,
"SRL Diagnostics- Dr. Avinash Phadke (SRL Diagnostics Pvt Ltd), Mumbai","SRL Diagnostics- Dr. Avinash Phadke (SRL Diagnostics Pvt Ltd), Mahalaxmi Engineering Estate, 2nd floor, near k.j.khilnani high school, Mahim West, Mahim, Mumbai, Maharashtra 400016",Mumbai,Private Laboratory,,,
"Sunflower Laboratory And Diagnostic Center, Mumbai","Sunflower Laboratory And Diagnostic Center, Keshav Kunj, Marve Road, Malad West, Mumbai, Maharashtra 400064",Mumbai,Private Laboratory,,,
"Aditya Birla Memorial Hospital –Laboratory (A Unit of Aditya Birla Health Services Ltd.), Pune","Aditya Birla Memorial Hospital –Laboratory (A Unit of Aditya Birla Health Services Ltd.), Aditya Birla Hospital Marg, Chinchwad, Pune-411033, Maharashtra, India",Pune,Private Laboratory,,,
"Department of Laboratory Medicine – P.D. Hinduja National Hospital & Medical Research Centre, Mumbai","Department of Laboratory Medicine – P.D. Hinduja National Hospital & Medical Research Centre, Veer Savarkar Marg, Mahim (W), Mumbai- 400016, Maharashtra, India",Mumbai,Private Laboratory,,,
